Date,Year,Month,Volume (In Mn.),Value (In Cr.),Day_Name,Day_Number,Is_Weekend,Is_Weekday,Is_Festival,Festival_Name,Holiday_Type,Is_Holiday_Adjacent,Days_To_Next_Holiday,Days_Since_Prev_Holiday,Is_Long_Weekend,Holiday_Cluster_7D
2021-05-01,2021,May,86.24,18140.21,Saturday,5,1,0,1,Maharashtra Day / Labour Day,Public,0,12.0,,0,1
2021-05-02,2021,May,79.37,13692.47,Sunday,6,1,0,0,,Unknown,1,11.0,1.0,0,1
2021-05-03,2021,May,87.72,20191.07,Monday,0,0,1,0,,Unknown,0,10.0,2.0,0,1
2021-05-04,2021,May,89.31,20005.02,Tuesday,1,0,1,0,,Unknown,0,9.0,3.0,0,1
2021-05-05,2021,May,87.7,19438.15,Wednesday,2,0,1,0,,Unknown,0,8.0,4.0,0,0
2021-05-06,2021,May,85.35,18425.68,Thursday,3,0,1,0,,Unknown,0,7.0,5.0,0,0
2021-05-07,2021,May,86.31,18247.77,Friday,4,0,1,0,,Unknown,0,6.0,6.0,0,0
2021-05-08,2021,May,83.45,16365.41,Saturday,5,1,0,0,,Unknown,0,5.0,7.0,0,0
2021-05-09,2021,May,79.4,13425.59,Sunday,6,1,0,0,,Unknown,0,4.0,8.0,0,0
2021-05-10,2021,May,84.92,18772.21,Monday,0,0,1,0,,Unknown,0,3.0,9.0,0,1
2021-05-11,2021,May,90.01,18267.37,Tuesday,1,0,1,0,,Unknown,0,2.0,10.0,0,2
2021-05-12,2021,May,85.77,17402.93,Wednesday,2,0,1,0,,Unknown,1,1.0,11.0,0,2
2021-05-13,2021,May,85.17,16038.79,Thursday,3,0,1,1,Eid ul-Fitr Eve,Public,1,1.0,12.0,0,2
2021-05-14,2021,May,81.17,14038.22,Friday,4,0,1,1,Eid ul-Fitr,Public,1,12.0,1.0,0,2
2021-05-15,2021,May,80.53,14824.99,Saturday,5,1,0,0,,Unknown,1,11.0,1.0,1,2
2021-05-16,2021,May,71.28,10804.95,Sunday,6,1,0,0,,Unknown,0,10.0,2.0,1,2
2021-05-17,2021,May,80.02,15977.6,Monday,0,0,1,0,,Unknown,0,9.0,3.0,1,1
2021-05-18,2021,May,80.3,15314.82,Tuesday,1,0,1,0,,Unknown,0,8.0,4.0,0,0
2021-05-19,2021,May,80.3,15542.35,Wednesday,2,0,1,0,,Unknown,0,7.0,5.0,0,0
2021-05-20,2021,May,79.34,15265.44,Thursday,3,0,1,0,,Unknown,0,6.0,6.0,0,0
2021-05-21,2021,May,80.06,14967.99,Friday,4,0,1,0,,Unknown,0,5.0,7.0,0,0
2021-05-22,2021,May,76.95,13312.11,Saturday,5,1,0,0,,Unknown,0,4.0,8.0,0,0
2021-05-23,2021,May,75.61,11237.42,Sunday,6,1,0,0,,Unknown,0,3.0,9.0,0,1
